epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,1758.27,5.40816,6.54475,4.27929,0.00314,2.68478,0.51755,0.53707,0.46313,0.14046,0.3556,0.44891,0.29933,0.08541,4.64676,5.17015,3.19482,0.00319,0,6.18034e-05,6.18034e-05,6.18034e-05
66,1786.55,5.68193,6.63817,4.3573,0.00276,2.50707,0.51864,0.53562,0.46499,0.14309,0.41238,0.44754,0.33885,0.09382,4.62678,5.01475,3.16023,0.00319,0,6.07916e-05,6.07916e-05,6.07916e-05
67,1815.43,5.88779,5.92084,4.35072,0.00323,2.59779,0.51177,0.53238,0.46592,0.14487,0.40326,0.44301,0.33933,0.09447,4.61624,4.94898,3.23347,0.00319,0,5.97754e-05,5.97754e-05,5.97754e-05
68,1844.76,5.78187,6.23175,4.2984,0.00292,2.42694,0.50731,0.5421,0.46222,0.14289,0.40354,0.48575,0.35004,0.09935,4.58898,4.96623,3.17544,0.00318,0,5.87551e-05,5.87551e-05,5.87551e-05
69,1873.46,4.32639,4.91205,4.07984,0.00265,2.91585,0.52438,0.56218,0.47784,0.14608,0.44059,0.51619,0.38896,0.10869,4.55461,4.96032,3.11712,0.00315,0,5.77311e-05,5.77311e-05,5.77311e-05
70,1902.78,5.25875,5.42944,4.37076,0.00338,2.81923,0.50317,0.56214,0.46276,0.14302,0.42783,0.50842,0.3739,0.10427,4.55505,5.01537,3.14774,0.00315,0,5.6704e-05,5.6704e-05,5.6704e-05
71,1931.19,5.67983,6.05101,4.25188,0.00284,2.5076,0.49825,0.53189,0.45735,0.14112,0.40198,0.50109,0.35704,0.09856,4.55974,4.973,3.18615,0.00316,0,5.56742e-05,5.56742e-05,5.56742e-05
72,1959.69,4.90177,5.38876,3.82156,0.00267,2.64299,0.51819,0.53951,0.47322,0.14489,0.43382,0.50648,0.38033,0.10256,4.55167,4.95798,3.08924,0.00316,0,5.46421e-05,5.46421e-05,5.46421e-05
73,1990.02,4.11231,4.36825,3.06643,0.00201,1.87125,0.53936,0.5693,0.48911,0.14902,0.45579,0.5136,0.39013,0.10534,4.56021,4.964,3.11166,0.00317,0,5.36081e-05,5.36081e-05,5.36081e-05
74,2016.62,5.48632,5.31188,4.00596,0.00263,2.32776,0.53536,0.54404,0.48533,0.14653,0.42181,0.49547,0.36736,0.1016,4.5878,4.93126,3.13715,0.00316,0,5.25728e-05,5.25728e-05,5.25728e-05
