epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,2158.35,3.1665,3.42192,1.97108,0.00168,1.31107,0.55454,0.57082,0.51084,0.15752,0.43694,0.50972,0.3811,0.10598,3.39187,3.67496,1.96848,0.00252,0,0.000536081,0.000536081,0.000536081
74,2187.22,4.13584,4.19723,2.5433,0.00211,1.80931,0.53326,0.58225,0.50517,0.1493,0.45139,0.52137,0.3922,0.11246,3.49391,3.74824,1.93328,0.00262,0,0.000525728,0.000525728,0.000525728
75,2214.42,3.06982,3.27982,2.21857,0.00182,1.06516,0.54362,0.58096,0.51251,0.15034,0.41749,0.49806,0.3676,0.1058,3.44691,3.72223,2.03606,0.00251,0,0.000515366,0.000515366,0.000515366
76,2242.38,4.60497,4.8137,2.8383,0.00256,1.93032,0.55386,0.56218,0.51646,0.16252,0.42469,0.47905,0.37873,0.10466,3.40018,3.66256,1.99293,0.00249,0,0.000505,0.000505,0.000505
77,2269.42,3.00573,3.14638,2.45004,0.0015,1.2344,0.5217,0.55894,0.51287,0.17107,0.4329,0.4851,0.41339,0.12153,3.36213,3.74543,2.1179,0.00248,0,0.000494634,0.000494634,0.000494634
78,2297.39,3.36343,3.57217,2.78023,0.00192,1.52508,0.54045,0.58161,0.53141,0.16872,0.46421,0.51295,0.44405,0.13265,3.38616,3.70697,1.98253,0.00252,0,0.000484272,0.000484272,0.000484272
79,2323.01,4.35092,4.17252,2.60204,0.00211,2.0407,0.54648,0.59326,0.5331,0.16262,0.45965,0.52137,0.40943,0.12039,3.35905,3.6555,1.98249,0.00247,0,0.000473919,0.000473919,0.000473919
80,2350.11,4.70026,4.40074,3.03915,0.00246,2.06896,0.52824,0.5842,0.50337,0.153,0.38336,0.49028,0.32624,0.09145,3.30974,3.64125,1.98639,0.0024,0,0.000463579,0.000463579,0.000463579
81,2376.46,3.70751,3.9183,2.66185,0.00224,1.80965,0.51993,0.5794,0.47325,0.14216,0.34768,0.45013,0.27763,0.07636,3.38725,nan,nan,0.00242,0,0.000453258,0.000453258,0.000453258
82,2404.12,3.82543,4.0554,2.32006,0.00178,1.73838,0.54123,0.59904,0.50967,0.15594,0.39727,0.47798,0.3249,0.09162,3.3734,nan,nan,0.00244,0,0.00044296,0.00044296,0.00044296
83,2430.98,3.67883,3.81,2.41266,0.00202,2.01218,0.56071,0.60298,0.53202,0.16525,0.45333,0.51878,0.40217,0.11564,3.36245,nan,nan,0.00245,0,0.000432689,0.000432689,0.000432689
84,2458.21,4.08738,4.42159,2.25524,0.00208,1.62428,0.56643,0.59067,0.53173,0.16862,0.46868,0.48899,0.39142,0.10867,3.36643,nan,nan,0.00245,0,0.000422449,0.000422449,0.000422449
85,2486.66,4.35598,4.70047,2.6016,0.00243,2.2231,0.57509,0.60751,0.55801,0.17888,0.47998,0.5136,0.42733,0.12023,3.35114,3.71032,1.86007,0.00246,0,0.000412246,0.000412246,0.000412246
86,2513.87,4.36102,4.97884,3.20142,0.00254,2.24885,0.58655,0.62111,0.56886,0.18507,0.49527,0.52748,0.44788,0.12906,3.32387,3.72872,1.80144,0.00247,0,0.000402084,0.000402084,0.000402084
87,2540.52,4.31917,4.86989,2.83765,0.0025,1.65654,0.59036,0.6101,0.56979,0.18293,0.49,0.5136,0.42734,0.12342,3.30933,3.62436,1.81198,0.00247,0,0.000391966,0.000391966,0.000391966
88,2566.98,4.35638,4.58221,2.41594,0.00234,1.766,0.56477,0.60622,0.5349,0.1671,0.41612,0.47863,0.36113,0.09636,3.34355,3.61152,1.85134,0.00244,0,0.000381899,0.000381899,0.000381899
89,2594.15,3.72254,3.90507,2.16555,0.0019,1.37377,0.55789,0.57189,0.51147,0.15375,0.36427,0.45984,0.31234,0.08445,3.39036,3.64759,1.91858,0.00244,0,0.000371885,0.000371885,0.000371885
90,2619.65,4.74744,4.94421,2.78895,0.00237,1.63187,0.57661,0.57069,0.54244,0.17596,0.47462,0.49223,0.42421,0.1196,3.30582,3.57368,1.85552,0.00241,0,0.000361929,0.000361929,0.000361929
91,2646.24,3.53377,3.44977,2.19725,0.00244,1.37385,0.55638,0.54728,0.51725,0.17166,0.48195,0.49468,0.43489,0.13007,3.29805,3.57779,1.90854,0.00242,0,0.000352037,0.000352037,0.000352037
92,2674.74,4.27934,5.04962,2.66605,0.00229,1.96047,0.55415,0.59585,0.5402,0.17916,0.48258,0.52785,0.44006,0.13167,3.29663,3.60346,1.84063,0.00243,0,0.000342211,0.000342211,0.000342211
93,2700.98,3.36996,3.79707,2.35721,0.00217,1.60673,0.57236,0.59197,0.55433,0.18084,0.49681,0.53756,0.45813,0.13756,3.30508,3.59807,1.80876,0.00244,0,0.000332457,0.000332457,0.000332457
94,2727.71,4.20666,4.96309,2.57857,0.00218,2.17859,0.56011,0.60881,0.55269,0.17896,0.46546,0.51101,0.41404,0.11635,3.32282,3.63669,1.84185,0.00244,0,0.000322778,0.000322778,0.000322778
95,2756.96,4.75387,4.85642,2.85929,0.00297,1.70493,0.56784,0.60251,0.54771,0.17633,0.42593,0.49352,0.37106,0.10102,3.33343,3.56935,1.86849,0.00243,0,0.00031318,0.00031318,0.00031318
96,2784.18,3.94937,4.47643,2.22078,0.00196,1.72029,0.57285,0.6193,0.56154,0.17951,0.44097,0.53235,0.39627,0.1045,3.29481,3.52385,1.85865,0.00242,0,0.000303665,0.000303665,0.000303665
97,2812.9,3.99584,4.09693,2.48206,0.0023,1.67118,0.5814,0.60427,0.55826,0.17946,0.44297,0.54145,0.40276,0.11019,3.28379,3.58328,1.84111,0.0024,0,0.000294239,0.000294239,0.000294239
98,2839.62,3.52323,4.07294,2.24235,0.00229,1.24755,0.57589,0.59802,0.5697,0.18532,0.51658,0.55052,0.48796,0.13859,3.25054,3.52972,1.82621,0.00241,0,0.000284906,0.000284906,0.000284906
99,2868.02,5.00718,5.92299,3.40017,0.00269,1.86611,0.58981,0.59323,0.5704,0.18767,0.44548,0.51684,0.40931,0.12016,3.28569,3.5459,1.79184,0.00239,0,0.000275668,0.000275668,0.000275668
100,2894.79,5.14178,5.15971,3.11337,0.00256,2.17728,0.58594,0.60298,0.57186,0.18737,0.42213,0.51295,0.38422,0.11126,3.28177,3.50423,1.82575,0.00237,0,0.000266532,0.000266532,0.000266532
101,2922.31,3.77366,4.05649,2.30388,0.00196,1.49198,0.58941,0.60805,0.57578,0.18879,0.46115,0.51826,0.40683,0.11934,3.22947,3.5001,1.7823,0.00234,0,0.0002575,0.0002575,0.0002575
102,2949.76,4.39016,4.83488,2.98229,0.00261,2.14645,0.58305,0.59974,0.56202,0.18514,0.44207,0.54534,0.41443,0.12126,3.19176,3.54783,1.77501,0.00229,0,0.000248577,0.000248577,0.000248577
103,2979.79,4.55494,4.60364,2.81738,0.00235,1.9189,0.58413,0.60816,0.56539,0.18414,0.4577,0.5421,0.41603,0.12389,3.21495,3.54572,1.76543,0.0023,0,0.000239766,0.000239766,0.000239766
104,3008.83,4.85962,5.30973,2.84709,0.00254,2.59226,0.58917,0.61852,0.56202,0.18092,0.45352,0.51166,0.38865,0.1119,3.27471,3.5618,1.79952,0.00236,0,0.000231071,0.000231071,0.000231071
