
--- INICIO MONITOREO VALIDACIÓN V16/V17 2026-03-11 08:02:20.640849 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
13:46:36 | 25.63 | 226.14 | 20.85
13:46:55 | 25.64 | 226.13 | 20.88
13:47:13 | 25.68 | 226.09 | 20.90
13:47:32 | 25.73 | 226.04 | 20.93
13:47:51 | 25.74 | 226.02 | 20.95
13:48:09 | 25.76 | 226.01 | 20.98
13:48:28 | 25.89 | 225.88 | 21.00
13:48:47 | 25.87 | 225.90 | 21.02
13:49:05 | 25.85 | 225.92 | 21.05
13:49:24 | 25.85 | 225.91 | 21.07
13:49:43 | 25.96 | 225.80 | 21.09
13:50:01 | 25.91 | 225.86 | 21.12
13:50:20 | 25.94 | 225.83 | 21.14
13:50:39 | 25.94 | 225.83 | 21.16
13:50:58 | 26.00 | 225.77 | 21.19
13:51:16 | 26.02 | 225.75 | 21.21
13:51:35 | 26.04 | 225.73 | 21.24
13:51:54 | 26.08 | 225.69 | 21.28
13:52:13 | 26.09 | 225.68 | 21.27
13:52:31 | 26.09 | 225.67 | 21.29
13:52:50 | 26.23 | 225.54 | 21.42
13:53:09 | 26.38 | 225.39 | 21.46
13:53:30 | 26.29 | 225.48 | 21.46
13:53:51 | 26.30 | 225.47 | 21.46
13:54:12 | 26.31 | 225.46 | 21.46
13:54:34 | 26.31 | 225.46 | 21.46
13:54:55 | 26.29 | 225.48 | 21.46
13:55:12 | 19.15 | 232.61 | 3.09
13:55:27 | 20.55 | 231.21 | 24.63
13:55:43 | 20.95 | 230.81 | 24.63
13:55:58 | 21.19 | 230.58 | 24.63
13:56:13 | 21.40 | 230.37 | 24.64
13:56:29 | 21.51 | 230.26 | 24.64
13:56:44 | 21.80 | 229.97 | 24.63
13:56:59 | 21.92 | 229.85 | 24.63
13:57:15 | 22.25 | 229.52 | 24.66
13:57:30 | 22.76 | 229.00 | 24.66
13:57:46 | 23.73 | 228.04 | 24.66
13:58:01 | 23.71 | 228.06 | 24.66
13:58:17 | 23.72 | 228.04 | 24.66
13:58:32 | 23.76 | 228.01 | 24.66
13:58:48 | 23.84 | 227.93 | 24.66
13:59:03 | 23.92 | 227.85 | 24.66
13:59:19 | 23.94 | 227.83 | 24.66
13:59:34 | 23.98 | 227.79 | 24.66
13:59:50 | 24.01 | 227.76 | 24.66
14:00:05 | 24.07 | 227.69 | 24.66
14:00:21 | 24.10 | 227.66 | 24.66
14:00:37 | 24.15 | 227.62 | 24.66
14:00:52 | 24.14 | 227.62 | 24.66
14:01:08 | 24.41 | 227.36 | 24.66
14:01:24 | 24.29 | 227.48 | 24.66
14:01:39 | 24.34 | 227.42 | 24.66
14:01:55 | 24.36 | 227.41 | 24.68
14:02:11 | 24.35 | 227.42 | 24.70
14:02:26 | 24.44 | 227.33 | 24.74
14:02:42 | 24.51 | 227.26 | 24.76
14:02:58 | 24.52 | 227.24 | 24.78
14:03:13 | 24.59 | 227.17 | 24.80
14:03:29 | 24.74 | 227.03 | 24.82
14:03:45 | 24.63 | 227.14 | 24.84
14:04:01 | 24.66 | 227.10 | 24.87
14:04:17 | 24.69 | 227.08 | 24.89
14:04:33 | 24.87 | 226.90 | 24.91
14:04:48 | 24.83 | 226.94 | 24.93
14:05:04 | 24.87 | 226.90 | 24.95
14:05:20 | 24.89 | 226.88 | 24.97
14:05:36 | 24.87 | 226.89 | 24.99
14:05:52 | 24.94 | 226.83 | 25.00
14:06:08 | 24.96 | 226.81 | 25.02
14:06:24 | 25.00 | 226.77 | 25.05
14:06:40 | 25.16 | 226.61 | 25.07
14:06:56 | 25.23 | 226.54 | 25.09
14:07:12 | 25.22 | 226.55 | 25.11
14:07:28 | 25.25 | 226.52 | 25.13
14:07:44 | 25.25 | 226.52 | 25.14
14:08:00 | 25.48 | 226.29 | 25.16
14:08:16 | 25.17 | 226.59 | 25.18
14:08:32 | 25.20 | 226.57 | 25.20
14:08:48 | 25.17 | 226.59 | 25.23
14:09:04 | 25.20 | 226.57 | 25.25
14:09:20 | 25.31 | 226.46 | 25.27
14:09:36 | 25.32 | 226.45 | 25.29
14:09:52 | 25.35 | 226.42 | 25.33
14:10:08 | 25.40 | 226.37 | 25.35
14:10:24 | 25.46 | 226.31 | 25.37
14:10:41 | 25.48 | 226.28 | 25.39
14:10:57 | 25.48 | 226.29 | 25.41
14:11:13 | 25.50 | 226.27 | 25.44
14:11:29 | 25.70 | 226.07 | 25.46
14:11:45 | 25.60 | 226.17 | 25.48
14:12:01 | 25.61 | 226.15 | 25.50
14:12:18 | 25.63 | 226.13 | 25.52
14:12:34 | 25.78 | 225.98 | 25.54
14:12:50 | 25.74 | 226.03 | 25.56
14:13:06 | 25.75 | 226.02 | 25.58
14:13:23 | 25.75 | 226.01 | 25.60
14:13:39 | 25.77 | 226.00 | 25.62
14:13:55 | 25.84 | 225.93 | 25.64
14:14:12 | 25.84 | 225.93 | 25.67
14:14:28 | 25.87 | 225.90 | 25.69
14:14:44 | 25.85 | 225.92 | 25.71
14:15:01 | 25.92 | 225.85 | 25.73
14:15:17 | 25.93 | 225.84 | 25.75
14:15:34 | 25.96 | 225.81 | 25.77
14:15:50 | 25.98 | 225.79 | 25.79
14:16:06 | 26.14 | 225.63 | 25.81
14:16:23 | 26.07 | 225.70 | 25.84
14:16:39 | 26.07 | 225.70 | 25.86
14:16:56 | 26.09 | 225.68 | 25.88
14:17:12 | 26.25 | 225.51 | 25.90
14:17:29 | 26.18 | 225.58 | 25.92
14:17:45 | 26.18 | 225.59 | 25.94
14:18:02 | 26.22 | 225.55 | 25.96
14:18:19 | 26.44 | 225.33 | 25.98
14:18:35 | 26.30 | 225.46 | 26.00
14:18:52 | 26.30 | 225.46 | 26.02
14:19:08 | 26.32 | 225.45 | 26.05
14:19:25 | 26.36 | 225.41 | 26.07
14:19:42 | 26.42 | 225.35 | 26.09
14:19:58 | 26.42 | 225.34 | 26.11
14:20:15 | 26.45 | 225.31 | 26.13
14:20:32 | 26.48 | 225.29 | 26.15
14:20:48 | 26.50 | 225.27 | 26.17
14:21:05 | 26.50 | 225.26 | 26.19
14:21:22 | 26.52 | 225.25 | 26.21
14:21:39 | 26.54 | 225.23 | 26.24
14:21:55 | 26.60 | 225.17 | 26.26
14:22:12 | 26.62 | 225.15 | 26.28
14:22:29 | 26.63 | 225.14 | 26.30
14:22:46 | 26.61 | 225.15 | 26.32
14:23:02 | 26.70 | 225.07 | 26.34
14:23:19 | 26.71 | 225.06 | 26.36
14:23:36 | 26.73 | 225.03 | 26.39
14:23:53 | 26.74 | 225.03 | 26.41
14:24:10 | 26.92 | 224.85 | 26.43
14:24:26 | 26.83 | 224.94 | 26.45
14:24:43 | 26.84 | 224.92 | 26.47
14:25:00 | 26.87 | 224.89 | 26.49
14:25:17 | 27.04 | 224.73 | 26.54
14:25:34 | 26.99 | 224.78 | 26.56
14:25:51 | 27.01 | 224.76 | 26.58
14:26:08 | 27.01 | 224.76 | 26.60
14:26:25 | 27.17 | 224.59 | 26.62
14:26:42 | 27.07 | 224.69 | 26.64
14:26:59 | 27.06 | 224.70 | 26.66
14:27:16 | 27.09 | 224.68 | 26.68
14:27:33 | 27.25 | 224.52 | 26.70
14:27:50 | 27.19 | 224.57 | 26.72
14:28:07 | 27.23 | 224.54 | 26.74
14:28:24 | 27.24 | 224.53 | 26.76
14:28:41 | 27.35 | 224.42 | 26.78
14:28:59 | 27.31 | 224.46 | 26.80
14:29:16 | 27.32 | 224.45 | 26.83
14:29:33 | 27.35 | 224.42 | 26.85
14:29:50 | 27.52 | 224.24 | 26.87
14:30:07 | 27.42 | 224.35 | 26.89
14:30:24 | 27.42 | 224.35 | 26.91
14:30:41 | 27.46 | 224.31 | 26.93
14:30:59 | 27.62 | 224.14 | 26.95
14:31:16 | 27.52 | 224.25 | 26.97
14:31:33 | 27.55 | 224.21 | 26.99
