
--- INICIO MONITOREO V27.3 MICRO 2026-05-14 09:25:40.329692 ---
09:46:36 | Sys:100.78G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3846 | 3, 73, 7370 | 4, 78, 7670 | 5, 67, 7714 | 6, 77, 7404 | 7, 74, 7342 |
09:46:51 | Sys:100.85G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3846 | 3, 73, 7370 | 4, 77, 7672 | 5, 66, 7714 | 6, 76, 7404 | 7, 73, 7342 |
09:47:07 | Sys:100.67G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3846 | 3, 71, 7370 | 4, 76, 7672 | 5, 65, 7714 | 6, 76, 7404 | 7, 72, 7342 |
09:47:22 | Sys:100.74G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3846 | 3, 71, 7370 | 4, 76, 7672 | 5, 65, 7714 | 6, 75, 7404 | 7, 72, 7342 |
09:47:37 | Sys:100.94G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 73, 3846 | 3, 74, 7370 | 4, 77, 7672 | 5, 65, 7714 | 6, 76, 7404 | 7, 72, 7342 |
09:47:53 | Sys:100.86G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 73, 3846 | 3, 73, 7370 | 4, 77, 7672 | 5, 65, 7714 | 6, 77, 7404 | 7, 73, 7342 |
09:48:09 | Sys:100.94G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3846 | 3, 72, 7370 | 4, 77, 7672 | 5, 65, 7714 | 6, 75, 7406 | 7, 72, 7342 |
09:48:24 | Sys:100.80G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 72, 3846 | 3, 72, 7370 | 4, 77, 7672 | 5, 66, 7714 | 6, 76, 7406 | 7, 74, 7342 |
09:48:39 | Sys:101.02G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 72, 3846 | 3, 72, 7370 | 4, 76, 7672 | 5, 65, 7714 | 6, 77, 7406 | 7, 73, 7342 |
09:48:55 | Sys:100.89G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 75, 3846 | 3, 74, 7924 | 4, 77, 7672 | 5, 65, 7714 | 6, 77, 7406 | 7, 73, 7342 |
09:49:11 | Sys:100.94G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3846 | 3, 73, 7924 | 4, 78, 7672 | 5, 66, 7714 | 6, 77, 7406 | 7, 73, 7342 |
09:49:26 | Sys:100.81G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3846 | 3, 73, 7924 | 4, 76, 7672 | 5, 66, 7714 | 6, 77, 7406 | 7, 72, 7342 |
09:49:42 | Sys:100.83G | Proc:0.89G | GPU:0, 20, 8 | 1, 22, 8 | 2, 73, 3846 | 3, 71, 7924 | 4, 77, 7672 | 5, 66, 7714 | 6, 77, 7406 | 7, 74, 7342 |
09:49:57 | Sys:100.81G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3846 | 3, 72, 7924 | 4, 77, 7672 | 5, 66, 7714 | 6, 76, 7406 | 7, 73, 7342 |
09:50:12 | Sys:101.02G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3846 | 3, 72, 7924 | 4, 77, 7672 | 5, 66, 7714 | 6, 77, 7406 | 7, 73, 7342 |
09:50:28 | Sys:101.00G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 72, 3846 | 3, 73, 7924 | 4, 78, 7672 | 5, 65, 7714 | 6, 76, 7406 | 7, 74, 7342 |
09:50:43 | Sys:100.77G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3846 | 3, 74, 7924 | 4, 78, 7672 | 5, 67, 7714 | 6, 76, 7406 | 7, 72, 7342 |
09:50:59 | Sys:100.88G | Proc:0.89G | GPU:0, 20, 8 | 1, 23, 8 | 2, 73, 3846 | 3, 72, 7924 | 4, 77, 7672 | 5, 65, 7714 | 6, 77, 7406 | 7, 74, 7342 |
