
--- INICIO PIPELINE MOSCAS 2026-03-30 17:42:26.066087 ---
21:54:30 | RAM: 55.7GB | Proc: 1.0GB
21:54:39 | RAM: 55.6GB | Proc: 1.0GB
21:54:40 | RAM: 55.8GB | Proc: 1.0GB
21:54:49 | RAM: 55.7GB | Proc: 1.0GB
21:54:51 | RAM: 55.6GB | Proc: 1.0GB
21:55:00 | RAM: 55.7GB | Proc: 1.0GB
21:55:01 | RAM: 55.7GB | Proc: 1.0GB
21:55:11 | RAM: 55.6GB | Proc: 1.0GB
21:55:12 | RAM: 55.6GB | Proc: 1.0GB
21:55:21 | RAM: 55.7GB | Proc: 1.0GB
21:55:23 | RAM: 55.7GB | Proc: 1.0GB
21:55:32 | RAM: 55.7GB | Proc: 1.0GB
21:55:34 | RAM: 55.7GB | Proc: 1.0GB
21:55:43 | RAM: 55.7GB | Proc: 1.0GB
21:55:44 | RAM: 55.7GB | Proc: 1.0GB
21:55:54 | RAM: 55.7GB | Proc: 1.0GB
21:55:55 | RAM: 55.7GB | Proc: 1.0GB
21:56:04 | RAM: 55.9GB | Proc: 1.0GB
21:56:06 | RAM: 55.7GB | Proc: 1.0GB
21:56:15 | RAM: 55.8GB | Proc: 1.0GB
21:56:17 | RAM: 55.6GB | Proc: 1.0GB
21:56:26 | RAM: 55.7GB | Proc: 1.0GB
21:56:28 | RAM: 55.7GB | Proc: 1.0GB
21:56:36 | RAM: 55.9GB | Proc: 1.0GB
21:56:38 | RAM: 55.9GB | Proc: 1.0GB
21:56:47 | RAM: 55.8GB | Proc: 1.0GB
21:56:49 | RAM: 55.8GB | Proc: 1.0GB
21:56:58 | RAM: 55.8GB | Proc: 1.0GB
21:57:00 | RAM: 55.8GB | Proc: 1.0GB
