epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,346826,4.40854,9.46298,1.21243,0.00323,3.03672,0.65978,0.42362,0.48056,0.33495,0.45857,0.26163,0.2566,0.14348,3.76918,9.82995,1.12111,0.00311,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,351010,4.40156,9.45708,1.21495,0.00324,3.00077,0.66095,0.42377,0.48117,0.33543,0.45863,0.26187,0.25644,0.14335,3.76792,9.82455,1.11953,0.00311,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,355199,4.40816,9.44482,1.21312,0.00325,3.01266,0.66195,0.42403,0.48174,0.33596,0.46161,0.26115,0.25682,0.14354,3.76461,9.8138,1.11917,0.0031,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,359379,4.3948,9.43562,1.2095,0.00323,3.00552,0.66204,0.42458,0.48217,0.33641,0.4585,0.26279,0.2568,0.14337,3.76122,9.80208,1.11786,0.0031,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,363554,4.39496,9.42311,1.20526,0.00321,2.9713,0.66381,0.42517,0.48274,0.33684,0.45851,0.26312,0.25706,0.14357,3.75969,9.79782,1.11719,0.00309,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,367731,4.37348,9.39546,1.20347,0.00319,2.97114,0.66243,0.42566,0.48298,0.33714,0.45977,0.263,0.25754,0.14395,3.75657,9.79558,1.11632,0.00309,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,371905,4.36911,9.36724,1.20248,0.00319,2.96751,0.66597,0.42438,0.4834,0.33761,0.45874,0.26372,0.25801,0.1441,3.75351,9.79198,1.11603,0.00308,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,376065,4.357,9.38353,1.19928,0.00317,2.93391,0.66539,0.4248,0.48365,0.33785,0.46089,0.26313,0.25807,0.14416,3.75278,9.79214,1.11505,0.00308,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,379974,4.11953,8.93443,1.14968,0.00305,2.06714,0.66573,0.42595,0.4844,0.33856,0.45984,0.26421,0.25857,0.14444,3.74731,9.79067,1.11377,0.00307,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,383897,4.09765,8.87662,1.14232,0.00301,2.0582,0.66702,0.42509,0.4847,0.33906,0.4561,0.26535,0.25882,0.1444,3.74388,9.77546,1.11261,0.00306,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
