epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,228704,0.98002,2.65633,0.80665,0.96143,0,0.59754,0.39006,0.42708,0.27225,0.00194,0.00399,0.00066,0.00018,0.92816,8.35851,0.79669,0.92879,0,0.003664,0.003664,0.003664
66,232224,0.9802,2.65914,0.80776,0.96134,0,0.59983,0.3903,0.42761,0.27255,0.00185,0.00418,0.00066,0.00018,0.928,8.38851,0.79663,0.92855,0,0.003565,0.003565,0.003565
67,235681,0.97716,2.64779,0.80365,0.95981,0,0.60015,0.39021,0.42771,0.27278,0.00187,0.00398,0.00066,0.00018,0.92769,8.40375,0.79657,0.92839,0,0.003466,0.003466,0.003466
68,239211,0.97948,2.65454,0.80559,0.9606,0,0.60006,0.39014,0.42796,0.27292,0.00186,0.00385,0.00064,0.00017,0.9273,8.41994,0.79671,0.92832,0,0.003367,0.003367,0.003367
69,242733,0.97897,2.65199,0.80439,0.96015,0,0.599,0.39159,0.42806,0.27311,0.00182,0.00401,0.00064,0.00017,0.92692,8.42769,0.79616,0.92823,0,0.003268,0.003268,0.003268
70,246248,0.97677,2.65362,0.80397,0.96004,0,0.59957,0.39096,0.42824,0.27311,0.00183,0.00412,0.00065,0.00018,0.92645,8.44138,0.79586,0.92811,0,0.003169,0.003169,0.003169
71,249735,0.9767,2.64755,0.80137,0.95893,0,0.59957,0.39124,0.42821,0.27318,0.00182,0.00389,0.00065,0.00018,0.92607,8.48252,0.79556,0.92803,0,0.00307,0.00307,0.00307
72,253158,0.97467,2.64147,0.80047,0.95907,0,0.60056,0.3907,0.42842,0.27343,0.00183,0.00398,0.00064,0.00018,0.92598,8.51305,0.79533,0.92797,0,0.002971,0.002971,0.002971
73,256679,0.97185,2.63887,0.7986,0.95856,0,0.601,0.39076,0.42881,0.27375,0.00182,0.00402,0.00065,0.00018,0.92556,8.54098,0.79523,0.92781,0,0.002872,0.002872,0.002872
74,260167,0.97479,2.64942,0.80221,0.95988,0,0.60042,0.3911,0.42868,0.27341,0.00179,0.00372,0.00063,0.00017,0.92545,8.57491,0.79501,0.92784,0,0.002773,0.002773,0.002773
75,263645,0.97152,2.64091,0.79983,0.95896,0,0.6012,0.39079,0.42863,0.27334,0.0018,0.00388,0.00063,0.00017,0.92546,8.58969,0.79503,0.92782,0,0.002674,0.002674,0.002674
76,267121,0.97138,2.64172,0.79919,0.95853,0,0.59956,0.39073,0.42861,0.27348,0.00174,0.00354,0.0006,0.00016,0.92529,8.60017,0.79515,0.92764,0,0.002575,0.002575,0.002575
77,270632,0.97004,2.63323,0.79799,0.95848,0,0.59916,0.39122,0.42889,0.27361,0.00172,0.00367,0.00061,0.00017,0.9253,8.61884,0.79498,0.92754,0,0.002476,0.002476,0.002476
78,274148,0.96841,2.63039,0.79625,0.9569,0,0.60047,0.39067,0.42919,0.27382,0.00174,0.00369,0.00061,0.00017,0.92509,8.62758,0.795,0.92739,0,0.002377,0.002377,0.002377
79,277662,0.9703,2.63844,0.79704,0.95754,0,0.59951,0.39134,0.42916,0.27375,0.00168,0.00342,0.00059,0.00016,0.92503,8.65205,0.7949,0.92726,0,0.002278,0.002278,0.002278
80,281165,0.96858,2.62898,0.79465,0.95715,0,0.59988,0.39136,0.42905,0.27376,0.00174,0.00314,0.00059,0.00016,0.92474,8.685,0.79457,0.92725,0,0.002179,0.002179,0.002179
81,285008,0.96735,2.63237,0.79502,0.957,0,0.59869,0.39241,0.42956,0.27386,0.00159,0.00361,0.00057,0.00016,0.92439,8.69889,0.79438,0.92716,0,0.00208,0.00208,0.00208
82,288819,0.9635,2.6261,0.79329,0.95658,0,0.59847,0.39258,0.42964,0.27393,0.00159,0.00343,0.00057,0.00016,0.92438,8.74016,0.79454,0.92704,0,0.001981,0.001981,0.001981
83,292692,0.96628,2.63119,0.79429,0.95642,0,0.59768,0.39273,0.42954,0.27406,0.00161,0.00342,0.00057,0.00016,0.92394,8.76742,0.79453,0.92695,0,0.001882,0.001882,0.001882
84,296524,0.96459,2.62843,0.79326,0.95617,0,0.60014,0.39215,0.4298,0.2743,0.00157,0.00357,0.00056,0.00016,0.92397,8.78978,0.79442,0.9269,0,0.001783,0.001783,0.001783
85,300364,0.96385,2.62684,0.79199,0.95548,0,0.59836,0.39336,0.42997,0.2745,0.00156,0.00359,0.00056,0.00016,0.92395,8.79977,0.79423,0.92685,0,0.001684,0.001684,0.001684
86,304144,0.96559,2.62797,0.79168,0.95602,0,0.59897,0.39351,0.43041,0.27458,0.00149,0.00395,0.00056,0.00016,0.92356,8.82764,0.79394,0.92679,0,0.001585,0.001585,0.001585
87,307978,0.96154,2.62421,0.78924,0.95441,0,0.60093,0.39273,0.43034,0.27463,0.0015,0.00377,0.00056,0.00016,0.92331,8.85728,0.79343,0.92664,0,0.001486,0.001486,0.001486
88,311799,0.96161,2.62124,0.79067,0.95587,0,0.60163,0.3931,0.4304,0.27477,0.00151,0.00338,0.00054,0.00015,0.92341,8.92252,0.79363,0.92664,0,0.001387,0.001387,0.001387
89,315696,0.96079,2.62613,0.78994,0.95502,0,0.60226,0.393,0.4306,0.27495,0.00144,0.00364,0.00053,0.00015,0.92302,8.97303,0.79378,0.92647,0,0.001288,0.001288,0.001288
90,319517,0.95927,2.62238,0.79005,0.95516,0,0.60266,0.39258,0.43072,0.27496,0.00148,0.00347,0.00053,0.00015,0.92284,8.97819,0.79353,0.92641,0,0.001189,0.001189,0.001189
91,321219,0.94603,2.54473,0.79153,0.94875,0,0.60268,0.39272,0.43078,0.27527,0.00148,0.00413,0.00055,0.00015,0.92221,8.96699,0.79362,0.92617,0,0.00109,0.00109,0.00109
92,322936,0.94237,2.5362,0.78605,0.94656,0,0.60403,0.39261,0.43122,0.27552,0.00151,0.0042,0.00056,0.00016,0.92133,8.99044,0.79346,0.92565,0,0.000991,0.000991,0.000991
93,324659,0.94036,2.53491,0.78566,0.94625,0,0.60424,0.39211,0.43127,0.27556,0.00159,0.00395,0.00058,0.00016,0.92087,9.02618,0.79337,0.92539,0,0.000892,0.000892,0.000892
94,326382,0.93767,2.53151,0.78312,0.94511,0,0.6029,0.39274,0.43125,0.27573,0.00155,0.0034,0.00056,0.00016,0.92003,9.06696,0.79336,0.92503,0,0.000793,0.000793,0.000793
95,328094,0.93506,2.52733,0.7825,0.94454,0,0.60457,0.39186,0.43141,0.27588,0.00157,0.0038,0.00057,0.00016,0.91934,9.09681,0.79294,0.92484,0,0.000694,0.000694,0.000694
96,329831,0.93461,2.52434,0.77998,0.94353,0,0.60592,0.39124,0.43154,0.27607,0.00163,0.0034,0.00057,0.00016,0.91919,9.13678,0.79282,0.92461,0,0.000595,0.000595,0.000595
97,331614,0.9331,2.52659,0.78032,0.94394,0,0.6058,0.39189,0.43207,0.27643,0.00163,0.00338,0.00057,0.00016,0.919,9.16499,0.79323,0.92432,0,0.000496,0.000496,0.000496
98,333359,0.92995,2.52233,0.77752,0.94239,0,0.60531,0.39129,0.43198,0.27637,0.00155,0.00426,0.00058,0.00016,0.91913,9.19017,0.79343,0.92423,0,0.000397,0.000397,0.000397
99,335093,0.92855,2.51555,0.77637,0.9427,0,0.60542,0.39116,0.43179,0.2762,0.00159,0.00383,0.00057,0.00016,0.91921,9.21926,0.79322,0.92427,0,0.000298,0.000298,0.000298
100,336834,0.92841,2.51598,0.77695,0.94271,0,0.6018,0.39157,0.43103,0.27581,0.00168,0.00369,0.00059,0.00016,0.91919,9.07765,0.79438,0.92469,0,0.000199,0.000199,0.000199
